ID,Last Contact,City State,Location,Sex,Missing Age From,Missing Age To,Current Age From,Current Age To,Ethnicity,Height,Weight,Hair Color,Left Eye Color,Right Eye Color,Clothing,Physical Features
MP4316,2004-03-25,"South Kohala, Hawaii","(19.5429151, -155.6658568)",Male,51,51,71,71,White / Caucasian,71.0,170.0,Brown,Brown,Brown,,Scar/mark: Scar on his chest
MP2749,2004-01-22,"Kauai, Hawaii","(22.0964396, -159.5261238)",Male,28,28,49,49,White / Caucasian,75.0,230.0,Brown,Blue,Blue,"brown suede jacket, blue/green shirt,dress pants
dress shoes",
MP4312,2004-03-18,"Kalapana, Hawaii","(19.354803, -154.97951)",Male,71,71,92,92,White / Caucasian,68.0,170.0,Gray or Partially Gray,Blue,Blue,,
MP596,2004-08-11,"Pahoa, Hawaii","(19.4954397, -154.9494112)",Female,55,55,76,76,White / Caucasian,65.0,200.0,Gray or Partially Gray,Green,Green,Pink terry cloth bath robe,Piercing: Pierced ears
MP600,1981-12-02,"Schofield, Hawaii","(21.4954957, -158.0626555)",Male,19,19,62,62,White / Caucasian,69.0,129.0,Blond/Strawberry,Blue,Blue,"Carrying a camera
Brown checkered button-up shirt, blue jeans
""Nike"" athletic shoes",Scar/mark: Freckles on face and arms
MP554,2005-04-19,"Pahoa, Hawaii","(19.4975033, -154.9508104)",Male,45,45,65,65,White / Caucasian,68.0,170.0,Brown,Blue,Blue,,Scar/mark: Horseshoe shaped scar on nose
MP8455,2010-10-15,"Pearl Harbor, Hawaii","(21.3420741, -157.9642869)",Male,27,27,41,41,Black / African American,69.0,150.0,Black,Brown,Brown,,
MP10010,2009-03-13,"Moloaa, Hawaii","(22.1980556, -159.3347221)",Male,34,34,50,50,White / Caucasian,60.0,170.0,Blond/Strawberry,Blue,Blue,,
MP11876,2011-07-26,"Koloa, Hawaii","(21.9066667, -159.4691667)",Female,61,61,74,74,White / Caucasian,64.0,140.0,Brown,Brown,Brown,"green long sleeve shirt
darl colored pants
dark colored
unk",Other distinctive physical characteristic: mole on her right cheek
MP14310,1993-08-22,"Pahoa, Hawaii","(19.4975033, -154.9508104)",Female,16,16,48,48,Hispanic / Latino,63.0,110.0,Brown,Brown,Brown,"skateboard
Cut-off jean shorts, long-sleeved blue shirt",Scar/mark: a mole on her left thigh
MP19872,1998-06-13,"South Kona, Hawaii","(19.3459074, -155.791466)",Female,36,36,63,63,White / Caucasian,61.0,85.0,Brown,Brown,Brown,,
